Territory_code,Plant_code,Brand_code,Package,Week_End_Date,Sum of Plan,fact,row_id
A,a,AC,TP 0.2,2024-02-09,1.0,0.01,A_a_AC_TP 0.2
A,a,AC,TP 0.2,2024-02-16,0.0,4.01,A_a_AC_TP 0.2
A,a,AC,TP 0.2,2024-02-23,0.0,3.01,A_a_AC_TP 0.2
A,a,AC,TP 0.2,2024-03-01,1.0,0.01,A_a_AC_TP 0.2
A,a,AC,TP 0.2,2024-03-08,1.0,0.01,A_a_AC_TP 0.2
A,a,AC,TP 0.2,2024-03-15,2.0,3.01,A_a_AC_TP 0.2
A,a,AC,TP 0.2,2024-03-22,1.0,0.01,A_a_AC_TP 0.2
A,a,AC,TP 0.2,2024-03-29,1.0,0.01,A_a_AC_TP 0.2
A,a,AC,TP 0.2,2024-04-05,3.0,0.01,A_a_AC_TP 0.2
A,a,AC,TP 0.2,2024-04-12,3.0,4.01,A_a_AC_TP 0.2
A,a,AC,TP 0.2,2024-04-19,7.0,1.01,A_a_AC_TP 0.2
A,a,AC,TP 0.2,2024-04-26,9.0,3.01,A_a_AC_TP 0.2
A,a,AC,TP 0.2,2024-05-03,0.0,1.01,A_a_AC_TP 0.2
A,a,AC,TP 0.2,2024-05-10,0.0,1.01,A_a_AC_TP 0.2
A,a,AC,TP 0.2,2024-05-17,0.0,5.01,A_a_AC_TP 0.2
A,a,AC,TP 0.2,2024-05-24,46.34669351577759,6.01,A_a_AC_TP 0.2
A,a,AC,TP 0.2,2024-05-31,1.7117999643087387,3.01,A_a_AC_TP 0.2
A,a,AC,TP 0.2,2024-06-07,0.8447204381227493,0.01,A_a_AC_TP 0.2
A,a,AC,TP 0.2,2024-06-14,1.860786572098732,6.01,A_a_AC_TP 0.2
A,a,AC,TP 0.2,2024-06-21,1.860786572098732,3.01,A_a_AC_TP 0.2
A,a,AC,TP 0.2,2024-06-28,2.481048703193665,0.01,A_a_AC_TP 0.2
A,a,AC,TP 0.2,2024-07-05,2.8852263689041138,0.01,A_a_AC_TP 0.2
A,a,AC,TP 0.2,2024-07-12,1.8273099809885025,2.01,A_a_AC_TP 0.2
A,a,AC,TP 0.2,2024-07-19,5.0,2.01,A_a_AC_TP 0.2
A,a,AC,TP 0.2,2024-07-26,3.9118455052375793,9.01,A_a_AC_TP 0.2
A,a,AC,TP 0.2,2024-08-02,2.43204852938652,4.01,A_a_AC_TP 0.2
A,a,AC,TP 0.2,2024-08-09,2.43204852938652,0.01,A_a_AC_TP 0.2
A,a,AC,TP 0.2,2024-08-16,6.493767023086548,11.01,A_a_AC_TP 0.2
A,a,AC,TP 0.2,2024-08-23,3.896260142326355,3.01,A_a_AC_TP 0.2
A,a,AC,TP 0.2,2024-08-30,3.3228786885738373,4.01,A_a_AC_TP 0.2
A,a,AC,TP 0.2,2024-09-06,4.98431795835495,5.01,A_a_AC_TP 0.2
A,a,AC,TP 0.2,2024-09-13,5.002327263355255,4.01,A_a_AC_TP 0.2
A,a,AC,TP 0.2,2024-09-20,5.002327263355255,5.01,A_a_AC_TP 0.2
A,a,AC,TP 0.2,2024-09-27,5.002327263355255,12.01,A_a_AC_TP 0.2
A,a,AC,TP 0.2,2024-10-04,2.5066334158182144,0.01,A_a_AC_TP 0.2
A,a,AC,TP 0.2,2024-10-11,1.044430561363697,6.666999826431274,A_a_AC_TP 0.2
A,a,AC,TP 0.2,2024-10-18,4.914337486028671,5.715999851226806,A_a_AC_TP 0.2
A,a,AC,TP 0.2,2024-10-25,4.914337486028671,0.01,A_a_AC_TP 0.2
A,a,AC,TP 0.2,2024-11-01,7.654440343379974,4.764999876022339,A_a_AC_TP 0.2
A,a,AC,TP 0.2,2024-11-08,3.827220171689987,3.813999900817871,A_a_AC_TP 0.2
A,a,AC,TP 0.2,2024-11-15,0.5775890760123727,0.9609999752044678,A_a_AC_TP 0.2
A,a,AC,TP 0.2,2024-11-22,8.251272201538086,2.8629999256134036,A_a_AC_TP 0.2
A,a,AC,TP 0.2,2024-11-29,7.52026754617691,2.8629999256134036,A_a_AC_TP 0.2
A,a,AC,TP 0.2,2024-12-06,0.0,0.01,A_a_AC_TP 0.2
A,a,AC,TP 0.2,2024-12-13,12.50131458044052,2.8629999256134036,A_a_AC_TP 0.2
A,a,AC,TP 0.2,2024-12-20,12.50131458044052,3.813999900817871,A_a_AC_TP 0.2
A,a,AC,TP 0.2,2024-12-27,7.500788748264313,0.9609999752044678,A_a_AC_TP 0.2
A,a,AC,TP 1.0,2023-01-06,3401.0,205.01,A_a_AC_TP 1.0
A,a,AC,TP 1.0,2023-01-13,3199.0,3402.01,A_a_AC_TP 1.0
A,a,AC,TP 1.0,2023-01-20,1496.0,240.01,A_a_AC_TP 1.0
A,a,AC,TP 1.0,2023-01-27,2076.0,9597.01,A_a_AC_TP 1.0
